ETF Name,Stock Code,United States,Japan,United Kingdom,Canada,China,Taiwan,France,Switzerland,Germany,South Korea,Australia,India,Netherlands,Italy,Spain,Sweden,Brazil,Hong Kong,Denmark,Israel,Saudi Arabia,Singapore,South Africa,Belgium,Finland,Mexico,Malaysia,Norway,Poland,Thailand,United Arab Emirates,Austria,Chile,Greece,Indonesia,Ireland,Kuwait,New Zealand,Qatar,Turkey,Philippines
ES3,ES3,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,
A17U,A17U,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,
ME8U,ME8U,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,
C38U,C38U,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,
N2IU,N2IU,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,
HMN,HMN,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,
J69U,J69U,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,
VOO,VOO,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSPX,CSPX,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,VT,61.1,6.0,3.5,3.2,3.2,2.7,2.1,2.1,1.9,1.9,1.7,1.7,1.0,0.8,0.8,0.8,0.5,0.5,0.4,0.3,0.4,0.4,0.4,0.3,0.3,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
VWRA,VWRA,61.34,5.87,3.53,3.16,3.18,2.61,2.18,2.11,1.97,1.8,1.68,1.64,1.09,0.78,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,
QQQ,QQQ,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGV,IGV,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUG,BUG,79.91,5.49,0.51,4.38,,,,,,1.05,,,,,,,,,,8.66,,,,,,,,,,,,,,,,,,,,,
UPU,UPU,,,,,,,,,,,,,,,,,,,,,,26.77,,,,,14.6,,,29.41,,,,,22.51,,,,,,5.8
A93,A93,,,,,,36.3,,,,25.7,,19.6,,,,,,6.2,,,,5.8,,,,,2.1,,,,,,,,,,,,,,
CFA,CFA,,,,,,,,,,3.4,,8.2,,,,,,12.7,,,,65.2,,,,,6.1,,,,,,,,,,,,,,2.5
YYY,YYY,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INC,INC,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HST,HST,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,
CLR,CLR,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,
YLD,YLD,,20.6,,,,,,,,16.3,19.8,,,,,,,19.1,,,,20.4,,,,,3.7,,,,,,,,,,,,,,
EAA,EAA,15.3,,,,,,,,,,,33.1,,,,,,,,,,,,,,,14.1,,,22.7,,,,,14.7,,,,,,
