stock_code,sector,geography
VT,Diversified,Global
ES3,Diversified,Singapore
CLR,Real Estate,Singapore
A17U,Real Estate,Singapore
VOO,Diversified,United States
YLD,Financials,Asia Pacific
CFA,Diversified,Asia ex-Japan
ME8U,Real Estate,Singapore
C38U,Real Estate,Singapore
N2IU,Real Estate,Asia Pacific
BUG,Technology,Global
A93,Diversified,Asia ex-Japan
VWRA,Diversified,Global
HMN,Real Estate,Global
INC,Diversified,China
MBH,Fixed Income,Singapore
HST,Technology,Hong Kong
IGV,Technology,United States
YYY,Diversified,China
QQQ,Technology,United States
J69U,Real Estate,Singapore
