stock_name,sector,geography
VGD TOT WLD STK,Diversified,Global
SS SPDR STI ETF,Diversified,Singapore
LION-PHIL S-REIT,Real Estate,Singapore
CAPLD ASCEN REIT,Real Estate,Singapore
VGD S&P 500 ETF,Diversified,United States
LION-OSPL AP FIN,Financials,Asia Pacific
AMV-STC A_XJ RET,Diversified,Asia ex-Japan
MAPLETREE IND TR,Real Estate,Singapore
CAPLD INT COM TR,Real Estate,Singapore
MAPLETREE PAC TR,Real Estate,Asia Pacific
GLOBAL X CYBERSE,Technology,Global
AMV ASIA EX-JPCN,Diversified,Asia ex-Japan
VANG FTSE AW USDA,Diversified,Global
CAPLD ASCOTT TR,Real Estate,Global
LION-CM CSI DIV,Diversified,China
AMV SGD IG CP BD,Fixed Income,Singapore
LION-OCBC HSTECH,Technology,Hong Kong
ISH EXP TE-SOFTW,Technology,United States
LION-OSPL CN LDR,Diversified,China
IVC QQQ TRUST,Technology,United States
FRASERS CPT TR,Real Estate,Singapore
